week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2022-12-26,1,398,275,123,79,97.59,38.0,7.5,102.0,7710,1050
2023-01-02,154,22454,13440,9014,154,145.81,59.0,13.25,175.75,22454,1062
2023-01-09,206,29244,18135,11109,206,141.96,40.0,10.5,99.75,29244,3516
2023-01-16,263,68611,44054,24557,262,261.85,37.0,12.25,95.0,68605,42615
2023-01-23,238,43213,23832,19381,238,181.57,26.0,8.25,85.75,43213,7350
2023-01-30,280,55637,29568,26069,280,198.7,31.0,6.0,124.75,55637,6270
2023-02-06,325,68181,51383,16798,325,209.79,43.0,13.0,138.0,68181,15310
2023-02-13,225,19683,14656,5027,225,87.48,24.0,8.0,111.0,19683,1674
2023-02-20,167,69008,30256,38752,167,413.22,28.0,6.0,117.5,69008,44310
2023-02-27,244,30197,21996,8201,244,123.76,30.5,7.0,92.0,30197,2535
2023-03-06,226,30314,17668,12646,226,134.13,30.0,9.0,97.75,30314,7716
2023-03-13,227,41907,24403,17504,227,184.61,27.0,6.0,95.5,41907,18716
2023-03-20,254,26479,15720,10759,254,104.25,21.0,6.0,78.0,26479,3250
2023-03-27,311,60560,46373,14187,311,194.73,29.0,9.0,89.0,60560,26638
2023-04-03,288,24750,16826,7924,288,85.94,25.0,8.0,77.0,24750,1532
2023-04-10,315,37016,25075,11941,315,117.51,36.0,11.0,102.5,37016,1408
2023-04-17,322,31612,20175,11437,322,98.17,32.5,8.25,85.25,31612,2214
2023-04-24,291,78986,34998,43988,286,275.74,32.0,7.0,90.75,78862,46554
2023-05-01,283,28516,18772,9744,277,102.01,39.0,10.0,111.0,28258,1486
2023-05-08,276,35032,22612,12420,276,126.93,32.5,9.0,103.0,35032,9207
2023-05-15,249,53425,37651,15774,249,214.56,36.0,8.0,116.0,53425,11385
2023-05-22,232,29788,19973,9815,232,128.4,49.0,12.0,130.75,29788,1448
2023-05-29,216,26738,17842,8896,216,123.79,41.0,12.75,123.5,26738,1350
2023-06-05,213,19198,13002,6196,212,90.55,24.0,8.0,76.0,19196,1686
2023-06-12,220,30439,19955,10484,219,138.98,42.0,7.0,150.5,30437,2585
2023-06-19,201,31675,18151,13524,201,157.59,47.0,10.0,124.0,31675,5518
2023-06-26,179,99062,59753,39309,179,553.42,43.0,9.0,142.5,99062,58084
2023-07-03,169,19291,12320,6971,169,114.15,41.0,9.0,111.0,19291,1576
2023-07-10,222,48317,40922,7395,222,217.64,29.5,8.0,99.0,48317,21227
2023-07-17,227,31402,20075,11327,227,138.33,28.0,8.0,114.0,31402,2150
2023-07-24,249,62522,42603,19919,247,253.11,34.0,10.0,109.0,62519,12058
2023-07-31,208,18116,11967,6149,208,87.1,23.5,7.0,90.0,18116,1936
2023-08-07,179,74004,60031,13973,179,413.43,56.0,10.0,167.5,74004,41474
2023-08-14,218,89300,80974,8326,218,409.63,41.5,11.0,158.25,89300,29367
2023-08-21,320,43764,27019,16745,320,136.76,45.5,12.0,149.0,43764,1854
2023-08-28,217,63348,35182,28166,217,291.93,38.0,12.0,107.0,63348,14052
2023-09-04,205,67034,37169,29865,205,327.0,37.0,8.0,136.0,67034,14047
2023-09-11,276,58290,33779,24511,276,211.2,43.0,10.0,184.5,58290,14045
2023-09-18,249,36228,23901,12327,249,145.49,39.0,9.0,119.0,36228,1782
2023-09-25,223,215602,34631,180971,223,966.83,35.0,11.5,135.5,215602,152823
2023-10-02,285,28759,19941,8818,285,100.91,35.0,10.0,93.0,28759,4482
2023-10-09,242,48413,34919,13494,242,200.05,47.5,11.25,162.5,48413,6094
2023-10-16,200,22973,13448,9525,200,114.86,46.5,14.0,136.5,22973,1851
2023-10-23,293,35146,23993,11153,293,119.95,36.0,8.0,124.0,35146,2332
2023-10-30,287,213008,23348,189660,287,742.19,40.0,12.0,119.5,213008,170448
2023-11-06,332,39673,24520,15153,332,119.5,45.5,12.0,162.0,39673,1232
2023-11-13,293,34069,21561,12508,293,116.28,35.0,10.0,126.0,34069,2248
2023-11-20,198,23869,17209,6660,198,120.55,30.5,7.0,104.75,23869,4274
2023-11-27,262,36584,23943,12641,261,140.14,33.0,8.0,116.0,36576,2855
2023-12-04,257,44109,26136,17973,256,172.29,39.0,13.0,112.5,44105,3853
2023-12-11,264,86679,38224,48455,264,328.33,37.0,10.75,116.0,86679,15415
2023-12-18,217,26691,16705,9986,217,123.0,45.0,10.0,116.0,26691,1894
2023-12-25,96,12745,7020,5725,96,132.76,52.0,12.75,151.5,12745,1634
2024-01-01,217,25108,14226,10882,217,115.71,19.0,5.0,101.0,25108,3204
2024-01-08,229,25611,19484,6127,229,111.84,32.0,10.0,102.0,25611,4010
2024-01-15,243,34925,22858,12067,243,143.72,53.0,14.0,154.0,34925,1325
2024-01-22,293,30395,19085,11310,293,103.74,30.0,7.0,92.0,30395,4307
2024-01-29,308,34833,22170,12663,308,113.09,29.5,7.0,123.0,34833,1594
2024-02-05,268,40739,25462,15277,268,152.01,46.5,8.0,170.5,40739,3387
2024-02-12,275,35059,24159,10900,275,127.49,33.0,8.0,101.5,35059,3408
2024-02-19,196,21069,9634,11435,196,107.49,34.0,8.75,83.25,21069,4244
2024-02-26,277,37076,24328,12748,277,133.85,34.0,9.0,119.0,37076,4291
2024-03-04,276,33372,21018,12354,276,120.91,35.5,8.0,119.25,33372,4279
2024-03-11,226,23446,14513,8933,226,103.74,34.0,10.25,93.75,23446,1446
2024-03-18,319,41096,26987,14109,319,128.83,48.0,10.0,122.5,41096,1790
2024-03-25,252,22083,14423,7660,252,87.63,28.0,8.0,98.5,22083,903
2024-04-01,242,32144,22321,9823,242,132.83,33.5,12.0,101.5,32144,2823
2024-04-08,297,68929,46193,22736,297,232.08,43.0,11.0,131.0,68929,8717
2024-04-15,303,72883,46024,26859,303,240.54,41.0,9.5,149.0,72883,10973
2024-04-22,334,49897,33492,16405,334,149.39,48.5,12.0,154.75,49897,2798
2024-04-29,248,81834,24733,57101,248,329.98,27.5,8.0,120.25,81834,37412
2024-05-06,266,295537,28318,267219,266,1111.04,50.0,11.0,159.0,295537,251121
2024-05-13,299,420607,151468,269139,299,1406.71,32.0,8.0,107.0,420607,121699
2024-05-20,285,73823,29369,44454,285,259.03,35.0,11.0,150.0,73823,25094
2024-05-27,309,138895,64516,74379,309,449.5,44.0,12.0,183.0,138895,25094
2024-06-03,327,79092,40160,38932,327,241.87,44.0,10.0,156.0,79092,7927
2024-06-10,339,65357,33027,32330,339,192.79,37.0,10.0,122.5,65357,9898
2024-06-17,259,64941,38053,26888,259,250.74,38.0,9.0,148.5,64941,5588
2024-06-24,287,89524,48973,40551,287,311.93,48.0,10.0,225.5,89524,9399
2024-07-01,222,22608,13899,8709,222,101.84,38.0,7.0,122.0,22608,1170
2024-07-08,288,57893,30121,27772,288,201.02,51.5,11.0,180.25,57893,7487
2024-07-15,310,41856,25675,16181,309,135.36,44.0,13.0,158.0,41825,1909
2024-07-22,450,79357,52870,26487,450,176.35,38.0,11.0,129.0,79357,9523
2024-07-29,366,66907,31870,35037,366,182.81,40.0,9.25,140.0,66907,7196
2024-08-05,325,39612,25878,13734,325,121.88,43.0,12.0,133.0,39612,1418
2024-08-12,281,39317,29021,10296,281,139.92,32.0,10.0,124.0,39317,5619
2024-08-19,342,48639,31572,17067,342,142.22,42.0,11.25,103.0,48639,5619
2024-08-26,339,30325,19692,10633,339,89.45,38.0,12.0,79.5,30325,953
2024-09-02,279,46803,27139,19664,279,167.75,30.0,6.0,107.0,46803,5274
2024-09-09,315,29193,19612,9581,315,92.68,32.0,8.0,76.0,29193,2621
2024-09-16,136,12596,8931,3665,136,92.62,36.0,10.0,95.0,12596,2563
2024-09-23,267,74817,32012,42805,265,282.28,32.0,9.0,99.0,74805,15750
