week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2019-09-23,1,16,12,4,5,255.6,275.0,8.0,319.0,1278,674
2019-11-11,1,18,10,8,27,108.22,17.0,8.5,69.5,2922,1024
2019-11-18,3,26,24,2,0,0.0,0.0,0.0,0.0,0,0
2019-11-25,1,3,0,3,0,0.0,0.0,0.0,0.0,0,0
2019-12-02,1,19,5,14,0,0.0,0.0,0.0,0.0,0,0
2019-12-09,1,6,4,2,0,0.0,0.0,0.0,0.0,0,0
2019-12-30,43,3327,678,2649,0,0.0,0.0,0.0,0.0,0,0
2020-01-06,332,25850,16707,9143,0,0.0,0.0,0.0,0.0,0,0
2020-01-13,386,28689,18424,10265,0,0.0,0.0,0.0,0.0,0,0
2020-01-20,336,23829,14537,9292,0,0.0,0.0,0.0,0.0,0,0
2020-01-27,289,8305,5310,2995,0,0.0,0.0,0.0,0.0,0,0
2020-02-03,486,53375,28272,25103,0,0.0,0.0,0.0,0.0,0,0
2020-02-10,385,23254,14712,8542,0,0.0,0.0,0.0,0.0,0,0
2020-02-17,443,28996,18432,10564,0,0.0,0.0,0.0,0.0,0,0
2020-02-24,287,13732,5827,7905,0,0.0,0.0,0.0,0.0,0,0
2020-03-02,370,52784,30659,22125,0,0.0,0.0,0.0,0.0,0,0
2020-03-09,279,16495,11815,4680,0,0.0,0.0,0.0,0.0,0,0
2020-03-16,257,21456,13665,7791,0,0.0,0.0,0.0,0.0,0,0
2020-03-23,440,70624,32229,38395,0,0.0,0.0,0.0,0.0,0,0
2020-03-30,328,11968,7084,4884,0,0.0,0.0,0.0,0.0,0,0
2020-04-06,375,25161,14176,10985,0,0.0,0.0,0.0,0.0,0,0
2020-04-13,424,21333,12821,8512,0,0.0,0.0,0.0,0.0,0,0
2020-04-20,424,21474,14249,7225,0,0.0,0.0,0.0,0.0,0,0
2020-04-27,295,8344,5513,2831,0,0.0,0.0,0.0,0.0,0,0
2020-05-04,346,16220,10458,5762,0,0.0,0.0,0.0,0.0,0,0
2020-05-11,415,29999,17740,12259,0,0.0,0.0,0.0,0.0,0,0
2020-05-18,210,19097,13897,5200,0,0.0,0.0,0.0,0.0,0,0
2020-05-25,289,15203,9559,5644,0,0.0,0.0,0.0,0.0,0,0
2020-06-01,313,9643,6291,3352,0,0.0,0.0,0.0,0.0,0,0
